State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
NM,McKinley,35031,,3.2%,394,4,40,48,5,0,2,615,0,Matching,35.135263,-108.49311,Matching,GALLUP-MCKINLEY CTY SCHOOLS,RAMAH HIGH,Matching,7.78,3.84,7.14,831,Matching,Matching
CO,Douglas,8035,,3.1%,2033,1,84,85.15,15.3,0,1,50037,1639,Matching,39.540642,-104.80799,Matching,Douglas County School District No. Re 1,CHAPARRAL HIGH SCHOOL,Matching,31.88,54.8,5.07,3293.95,Matching,Matching
SD,Roberts,46109,1,3.1%,44,3,11,3,2,0,1,668,19,Matching,45.661524,-97.056199,Matching,Sisseton School District 54-2,Westside Elementary - 03,Matching,0,1,1,108.95,Matching,Matching
GA,Bibb,13021,,3.1%,769,2,43,56,36,0,4,4907,124,Matching,32.815777,-83.750039,Matching,Bibb County,Westside High School,Matching,2,1.7,10,1548.75,Matching,Matching
AL,Talladega,1121,,3.1%,378,4,30,29,15,0,3,6963,168,Matching,33.461046,-86.090556,Matching,Al Inst Deaf And Blind,Helen Keller School,Matching,1,6,34.5,868.67,Matching,Matching
SC,Marion,45067,,3.0%,156,1,11,14,6,0,1,1058,34,Matching,34.18,-79.39,Matching,Marion 10,Marion High,Matching,1,2.25,12,332,Matching,Matching
IN,LaPorte,18091,,3.0%,480,7,31,44.5,6.5,0,1,11155,424,Matching,41.67,-86.89,Matching,Michigan City Area Schools,Barker Middle School,Matching,6.4,7.6,19.82,980.29,Matching,Matching
OH,Franklin,39049,,3.0%,5391,96,357,331.86,48,0,11,88049,1526,Matching,40.066544,-83.005553,Matching,Ohio School For The Deaf,Ohio School For The Deaf (9-12),Matching,44.44,160.72,164.72,10865.45,Matching,Matching
TX,Harris,48201,,2.9%,25651,57,1029,1510.73,346.93,0,37,152050,1902,Matching,29.695406,-95.489918,Matching,HOUSTON ISD,INSPIRED FOR EXCELLENCE ACADEMY WEST,Matching,61.62,110.76,851.28,54278.13,Matching,Matching
CA,Sonoma,6097,,2.9%,1959,39,165,113.66,25,0,6,29672,860,Matching,38.241691,-122.59903,Matching,Petaluma Joint Union High,Sonoma Mountain High (Continuation),Matching,3.6,47.9,27.95,3321.77,Matching,Matching
OH,Auglaize,39011,,2.9%,213,6,16,18.4,1,0,1,6988,193,Matching,40.55,-84.4,Matching,St Marys City,St Marys Memorial High School,Matching,1,3.2,6.34,444.66,Matching,Matching
OK,Cherokee,40021,,2.9%,226,11,18,17.6,10.07,0,1,1907,58,Matching,35.92,-94.97,Matching,TAHLEQUAH,TAHLEQUAH MS,Matching,0.85,2.25,7.5,475.99,Matching,Matching
WI,Pierce,55093,,2.9%,210,6,22,20.02,1.89,0,2,6799,176,Matching,44.726524,-92.48331,Matching,Ellsworth Community School District,Ellsworth High,Matching,0,6.35,6.37,524.45,Matching,Matching
VA,Buchanan,51027,,2.8%,85,1,9,8,7,0,1,2973,85,Matching,37.311844,-81.977674,Matching,BUCHANAN CO PBLC SCHS,JM BEVINS ELEM,Matching,0,0,7,243,Matching,Matching
AZ,Pima,4019,,2.8%,4046,72,281,245.84,27.92,0,10,47940,1705,Matching,32.159537,-110.97261,Matching,Sunnyside Unified District,S.t.A.R. Academic Center,Matching,44.05,103.88,98.26,7903.43,Matching,Matching
TX,Matagorda,48321,,2.8%,191,5,16,18,14.34,0,1,1849,91,Matching,28.988203,-95.956685,Matching,BAY CITY ISD,BAY CITY J H,Matching,0,0,14,474.67,Matching,Matching
ID,Ada,16001,,2.8%,1899,12,119,154.63,33.31,0,6,55059,1552,Matching,43.65691,-116.2315,Matching,BOISE INDEPENDENT DISTRICT,HILLSIDE JUNIOR HIGH SCHOOL,Matching,9.93,37.43,60.42,3606.66,Matching,Matching
OH,Wood,39173,,2.8%,544,10,36,48.8,10.73,0,1,16362,478,Matching,41.55,-83.6,Matching,Penta Career Center - District,Penta Career Center - on campus,Matching,1,15.49,13.99,1286.48,Matching,Matching
IN,Madison,18095,,2.7%,491,6,25,24.5,5.66,0,1,13804,424,Matching,40.135171,-85.615547,Matching,Anderson Community School Corp,Highland Middle School,Matching,8.8,13.72,26.5,990,Matching,Matching
VT,Addison,50001,,2.7%,116,20,21,20.46,4,0,1,3990,103,Matching,44.006703,-73.163138,Matching,Middlebury UHSD #3,Middlebury Senior UHSD #3,Matching,3.6,3.2,12.24,393.48,Matching,Matching
SD,Hanson,46061,1,2.7%,16,1,10,1.33,1,0,1,568,16,Matching,43.671271,-97.875345,Matching,Hanson School District 30-1,Hanson Colony Alternative High School - 07,Matching,0,0.2,1,55.95,Matching,Matching
NC,Macon,37113,,2.7%,119,1,11,11.51,10,0,1,3491,100,Matching,35.227788,-83.415605,Matching,Macon County Schools,Iotla Valley Elementary,Matching,3.1,3.84,3.9,370.23,Matching,Matching
FL,Leon,12073,,2.6%,937,3,53,65.43,23,0,4,15419,527,Matching,30.400903,-84.267984,Matching,LEON,PACE SECONDARY SCHOOL,Matching,2,0,0,2107.9,Matching,Matching
CT,Windham,9015,,2.6%,401,17,41,53,3,0,1,11154,334,Matching,41.772256,-72.087612,Matching,EASTERN CONNECTICUT REGIONAL,EASTCONN Special Education,Matching,41.02,30.9,43,1399.83,Matching,Matching
VA,Russell,51167,,2.6%,107,2,13,10.8,8.33,0,2,4006,101,Matching,36.89,-82.1,Matching,PROJECT BRIDGE/RUSSELL CO,PROJECT BRIDGE/RUSSELL CO,Matching,0,0,7.73,287.25,Matching,Matching
MA,Essex,25009,,2.6%,2557,41,200,291.04,23.78,0,6,55980,1803,Matching,42.782351,-71.013261,Matching,Pentucket,Pentucket Regional Sr High,Matching,78.92,108.11,225.37,7727.28,Matching,Matching
ME,Penobscot,23019,,2.5%,486,22,65,59.1,15.75,0,2,17522,452,Matching,45.924683,-68.439476,Matching,RSU 50,Katahdin Middle/High School,Matching,17.02,5.62,27.76,1422.89,Matching,Matching
VA,Arlington,51013,,2.5%,637,1,37,81.8,12,0,1,11560,409,Matching,38.889072,-77.092848,Matching,ARLINGTON CO PBLC SCHS,NEW DIRECTIONS ALTERNATIVE H.S. PROGRAM,Matching,20.6,23,0,2119.56,Matching,Matching
GA,Bleckley,13023,1,2.5%,62,1,5,4,1.9,0,1,1697,37,Matching,32.40547,-83.307564,Matching,Bleckley County,Bleckley County Success Academy,Matching,0,0,0.5,153.85,Matching,Matching
NC,Alamance,37001,,2.4%,618,4,39,55,15,0,1,12381,541,Matching,36.087457,-79.397088,Matching,Alamance-Burlington Schools,Broadview Middle,Matching,26.7,15,26,1697.52,Matching,Matching
OH,Guernsey,39059,,2.4%,125,5,16,11.33,2.66,0,1,4786,115,Matching,39.95103,-81.557572,Matching,Rolling Hills Local,Meadowbrook Middle School,Matching,2.8,3.16,4.16,338.49,Matching,Matching
MI,Montcalm,26117,,2.4%,252,8,31,17.95,4.99,0,1,9493,238,Matching,43.261294,-84.916209,Matching,Carson City-Crystal Area Schools,Carson City-Crystal Alternative Academy,Matching,18.74,7.5,2.39,565.27,Matching,Matching
TX,Hunt,48231,,2.4%,385,10,41,38.7,16,0,2,9397,95,Matching,32.986087,-95.931223,Matching,LONE OAK ISD,LONE OAK H S,Matching,0.2,0.8,25.9,1139.13,Matching,Matching
DE,Kent,10001,,2.4%,687,12,48,67,13.05,0,1,14754,430,Matching,39.16,-75.53,Matching,Capital School District,Kent County Secondary ILC,Matching,11,30.05,55,1988.1,Matching,Matching
KY,Warren,21227,,2.4%,468,2,38,45.5,20,0,2,13563,356,Matching,36.894709,-86.516487,Matching,Warren County,South Warren High School,Matching,1.07,10.95,16.81,1219.82,Matching,Matching
TN,Putnam,47141,,2.3%,255,1,20,28,10,0,1,8846,238,Matching,36.176275,-85.453213,Matching,Putnam County,Algood Middle School,Matching,0,0,16,649.5,Matching,Matching
FL,Seminole,12117,,2.3%,1503,1,67,107,62,0,6,33619,845,Matching,28.777058,-81.255177,Matching,SEMINOLE,SCPS CONSEQUENCE UNIT,Matching,0,0,0,3905.75,Matching,Matching
OH,Summit,39153,,2.3%,1708,35,146,165.1,45.43,0,6,49789,621,Matching,41.063863,-81.471866,Matching,Akron City,Bridges Learning Center,Matching,5.39,82.11,29.1,4801.87,Matching,Matching
SC,Florence,45041,,2.3%,548,5,39,61.5,17,0,1,9242,160,Matching,33.946389,-79.550809,Matching,Florence 02,Hannah Pamplico High,Matching,4,20.99,46.5,1595.92,Matching,Matching
PA,Lawrence,42073,,2.3%,267,9,23,26,11,0,1,10061,226,Matching,40.976524,-80.33111,Matching,Lawrence County CTC,Lawrence County CTC,Matching,0,10.65,23,831.45,Matching,Matching
ME,Waldo,23027,,2.3%,82,4,17,12.03,6,0,1,3347,76,Matching,44.446211,-69.048118,Matching,RSU 71,Belfast Area High School,Matching,6.2,5.27,7.18,321.65,Matching,Matching
AK,Sitka,2220,,2.3%,41,2,7,6.25,5,0,1,739,16,Matching,57.061439,-135.341796,Matching,Sitka School District,Sitka High School,Matching,3.9,1,4.5,131.5,Matching,Matching
MO,Lincoln,29113,,2.3%,192,4,18,25,9,0,1,7602,184,Matching,38.97,-90.99,Matching,TROY R-III,MAIN STREET ELEM.,Matching,0,0,18,630.77,Matching,Matching
OH,Medina,39103,,2.2%,616,6,44,53.74,13.46,0,1,25208,583,Matching,41.235311,-81.841214,Matching,Brunswick City,Visintainer Middle School,Matching,1,27.8,24.01,1541.36,Matching,Matching
NJ,Cumberland,34011,,2.2%,606,18,54,84.1,12,0,1,9175,67,Matching,39.420084,-75.249479,Matching,Bridgeton City School District,Quarter Mile Lane School,Matching,44.4,29.88,61.4,2320.94,Matching,Matching
IA,Des Moines,19057,,2.2%,145,4,17,14,4.5,0,1,5024,88,Matching,40.818129,-91.161255,Matching,West Burlington Ind School District,West Burlington High School,Matching,4,0,8.91,467.1,Matching,Matching
CA,San Diego,6073,,2.2%,10061,43,699,717.86,92.43,0,22,137248,972,Matching,32.729423,-117.0083,Matching,La Mesa-Spring Valley,Quest Academy,Matching,72.52,423.1,672.23,21540.01,Matching,Matching
GA,Lowndes,13185,,2.1%,398,3,20,35.98,23,0,1,8108,178,Matching,30.866041,-83.250189,Matching,Valdosta City,Newbern Middle School,Matching,0,0,20,1167.45,Matching,Matching
SC,Georgetown,45043,,2.1%,197,1,18,27,18,0,1,4585,169,Matching,33.388242,-79.297462,Matching,Georgetown 01,Georgetown Middle,Matching,1.6,11.84,18,647.58,Matching,Matching
CA,Santa Barbara,6083,,2.1%,1452,22,113,93.39,16.48,0,4,17076,50,Matching,34.943362,-119.67386,Matching,Cuyama Joint Unified,Cuyama Valley High,Matching,27.25,75.9,31.27,3187.01,Matching,Matching
NY,Nassau,36059,,2.1%,4260,59,306,520.05,12.8,0,8,102867,2009,Matching,40.755357,-73.605955,Matching,CARLE PLACE UNION FREE SCHOOL DISTRICT,CARLE PLACE MIDDLE SENIOR HIGH SCHOOL,Matching,252.2,394.7,370.39,16956.62,Matching,Matching
CA,Alameda,6001,,2.1%,4342,22,324,277.94,61.95,0,6,41569,576,Matching,37.709521,-121.9218,Matching,Dublin Unified,Valley High (Continuation),Matching,24.82,165.14,71.88,9941.61,Matching,Matching
FL,St. Johns,12109,,2.1%,658,2,45,62.6,19,0,8,24273,320,Matching,29.888179,-81.329634,Matching,ST. JOHNS,GAINES ALTERNATIVE AT HAMBLEN,Matching,0,0,0,1801.13,Matching,Matching
AZ,Coconino,4005,,2.1%,394,18,46,50.13,3,0,1,7554,211,Matching,35.210892,-111.61571,Matching,Flagstaff Unified District,W F Killip Elementary School,Matching,3,15.85,23.6,1205.56,Matching,Matching
RI,Washington,44009,,2.1%,312,8,36,36.92,10.47,0,1,13035,292,Matching,41.448342,-71.69546,Matching,Chariho,The R.Y.S.E School,Matching,20.76,22,32,1342.42,Matching,Matching
OH,Trumbull,39155,,2.0%,586,26,70,74.6,27.17,0,2,23005,551,Matching,41.387213,-80.8673,Matching,Bristol Local,Bristol High School,Matching,1,24.45,42.86,1927.82,Matching,Matching
IA,Woodbury,19193,,2.0%,365,7,37,38.1,6.75,0,1,10783,298,Matching,42.385519,-95.869007,Matching,Maple Valley-Anthon Oto Comm School District,Anthon Elementary,Matching,0,0,19.43,1179.26,Matching,Matching
SC,Kershaw,45055,,2.0%,214,1,18,28.65,13.25,0,1,6561,160,Matching,34.429106,-80.530227,Matching,Kershaw 01,North Central Middle,Matching,2.35,8.5,13.5,642.8,Matching,Matching
OH,Lucas,39095,,2.0%,1256,44,134,144.79,48.7,0,5,35285,341,Matching,41.682886,-83.592752,Matching,Toledo City,McKinley Elementary School,Matching,15.5,50.12,140.6,3832.39,Matching,Matching
SD,Minnehaha,46099,,2.0%,651,8,72,74.07,25.85,0,7,23291,471,Matching,43.541007,-96.717222,Matching,East Dakota Educational Cooperative,Teachwell Academy Middle School - 04,Matching,6.95,11.15,30.02,2020.96,Matching,Matching
OH,Clermont,39025,,2.0%,572,10,47,35.99,10,0,1,26102,517,Matching,39.227207,-84.158424,Matching,Goshen Local,Goshen High School,Matching,2.25,19.75,22.78,1577.87,Matching,Matching
WY,Albany,56001,,2.0%,79,1,17,15.06,3.9,0,1,3002,64,Matching,41.305423,-105.56178,Matching,Albany County School District #1,Whiting High School,Matching,5.15,7,9.5,369.15,Matching,Matching
FL,Bay,12005,,2.0%,546,1,46,69.5,25,0,4,18955,397,Matching,30.151711,-85.661506,Matching,BAY,PANAMA CITY MARINE INSTITUTE,Matching,5,5,2,1687.97,Matching,Matching
IL,Union,17181,1,2.0%,61,8,16,4.8,1,0,1,2752,55,Matching,37.39,-89.15,Matching,Dongola USD 66,Dongola High School,Matching,9.08,0,6.05,206.95,Matching,Matching
PA,York,42133,,1.9%,1236,21,107,167.15,39.99,0,2,48308,194,Matching,40.065688,-76.715675,Matching,Northeastern York SD,Northeastern SHS,Matching,7.43,26.49,77.65,4315.23,Matching,Matching
PA,Erie,42049,,1.9%,753,18,71,95,130.49,0,2,29399,689,Matching,42.151142,-80.010721,Matching,Iroquois SD,Iroquois JSHS,Matching,4.3,36.4,53.5,2812.41,Matching,Matching
WY,Teton,56039,,1.9%,54,2,10,14.4,2,0,1,1813,22,Matching,43.535619,-110.83025,Matching,Region V BOCES,C-Bar-V Ranch,Matching,5.5,6.17,5,262.9,Matching,Matching
WI,Oneida,55085,,1.9%,79,4,15,11.6,6.1,0,1,3720,73,Matching,45.648197,-89.40058,Matching,Rhinelander School District,Rhinelander High,Matching,3,4,2.69,322.4,Matching,Matching
KY,Jessamine,21113,,1.9%,155,1,12,15.9,5,0,1,6867,136,Matching,37.86,-84.66,Matching,Jessamine County,The Providence School,Matching,3,5.9,12,499.38,Matching,Matching
ID,Madison,16065,,1.9%,132,2,15,8,5,0,1,6378,112,Matching,43.817731,-111.77733,Matching,MADISON DISTRICT,CENTRAL ALTERNATIVE HIGH,Matching,0.9,3.34,0,301.97,Matching,Matching
WI,Rock,55105,,1.9%,516,9,60,58.38,11,0,1,19325,121,Matching,42.630862,-89.259607,Matching,Parkview School District,Parkview High,Matching,10.02,28.4,13.87,1900.85,Matching,Matching
NJ,Passaic,34031,,1.9%,1493,27,146,228.32,28.49,0,3,24129,4,Matching,40.91739,-74.171031,Matching,Paterson Public School District,Alternative High School,Matching,128.86,96.66,164.45,7126.02,Matching,Matching
FL,Walton,12131,,1.8%,162,1,19,16.99,14,0,1,6798,100,Matching,30.721074,-86.096065,Matching,WALTON,WALTON ACADEMY INC.,Matching,0,0,0,550,Matching,Matching
CO,Denver,8031,,1.8%,1697,3,201,115.7,20,0,3,21003,46,Matching,39.776692,-104.83251,Matching,School District No. 1 in the county of Denver and State of C,FARRELL B. HOWELL ECE-8 SCHOOL,Matching,66.68,54.68,31.85,6066.58,Matching,Matching
WI,Brown,55009,,1.8%,791,9,78,102.07,24.63,0,4,29559,658,Matching,44.52017,-88.02154,Matching,Green Bay Area Public School District,Fort Howard Elementary,Matching,44.32,30.89,16.14,3192.84,Matching,Matching
WI,Juneau,55057,,1.8%,43,5,15,9.3,2,0,1,2133,37,Matching,44.042033,-90.036794,Matching,New Lisbon School District,Juneau County Charter School,Matching,0,4,5.5,199.9,Matching,Matching
NJ,Essex,34013,,1.8%,2403,45,230,400.85,37,0,1,34676,7,Matching,40.756235,-74.179375,Matching,NEWARK PUBLIC SCHOOL DISTRICT,BARRINGER ARTS HIGH SCHOOL,Matching,373.28,160.74,285.22,10793.36,Matching,Matching
FL,Lee,12071,,1.8%,1638,1,113,137,40,0,2,38672,851,Matching,26.648362,-81.84032,Matching,LEE,LEE ADOLESCENT MOTHERS PROGRAM,Matching,3.2,0,0,5116.3,Matching,Matching
OH,Cuyahoga,39035,,1.8%,2914,109,354,328.49,53.76,0,9,70551,1284,Matching,41.473808,-81.731838,Matching,Cleveland Metropolitan School District,H Barbara Booker Elementary School,Matching,37.8,246.66,213.91,11277.57,Matching,Matching
TX,Gregg,48183,,1.8%,389,8,41,50.83,22,0,1,8914,205,Matching,32.515788,-94.780919,Matching,PINE TREE ISD,EXCEL H S OF CHOICE,Matching,0,1.09,33.83,1468.9,Matching,Matching
TN,Hamilton,47065,,1.8%,792,1,77,89.87,28,0,1,24636,478,Matching,35.001323,-85.28215,Matching,Hamilton County,East Lake Academy Of Fine Arts,Matching,31.31,37.9,60.8,3122.4,Matching,Matching
LA,St. Mary,22101,,1.8%,162,2,24,10,1,0,1,4287,112,Matching,29.705808,-91.204433,Matching,St. Mary Parish,Morgan City Junior High School,Matching,0,0,11.7,646.78,Matching,Matching
KY,Madison,21151,,1.8%,229,2,24,28,14.65,0,1,11154,196,Matching,37.745173,-84.296016,Matching,Madison County,Madison Middle School,Matching,3.3,14.66,10.5,826.45,Matching,Matching
CO,Arapahoe,8005,,1.7%,1907,7,148,172.89,44,0,6,49556,1353,Matching,39.692114,-104.81731,Matching,Aurora Joint District No. 28 of the counties of Adams and A,GATEWAY HIGH SCHOOL,Matching,69.56,124.58,79.11,5999.96,Matching,Matching
CA,Marin,6041,,1.7%,591,20,74,67.9,7.1,0,2,19918,332,Matching,37.938832,-122.53155,Matching,Larkspur-Corte Madera School District,Hall Middle,Matching,2.38,29.67,9.39,1838.92,Matching,Matching
LA,St. Tammany,22103,,1.7%,650,2,57,66,13,0,1,27331,217,Matching,30.36,-90.06,Matching,St. Tammany Parish Public School System,Mandeville Middle School,Matching,0,2,26,2595,Matching,Matching
OK,Muskogee,40101,,1.7%,224,13,38,31.57,17,0,2,5138,116,Matching,35.77,-95.37,Matching,MUSKOGEE,CHEROKEE ES,Matching,1,3.5,12.16,810.74,Matching,Matching
LA,Orleans,22071,,1.7%,786,60,82,93.02,20,0,2,4300,65,Matching,29.947197,-90.073263,Matching,Voices for International Business & Education,International High School of New Orleans,Matching,95.35,26.3,85.15,3222.78,Matching,Matching
LA,East Baton Rouge,22033,,1.6%,1015,23,119,153,44.8,0,2,13732,174,Matching,30.464023,-91.139823,Matching,East Baton Rouge Parish,Greenville Superintendent's Academy,Matching,44,8.25,87.3,4460.25,Matching,Matching
OR,Benton,41003,,1.6%,159,4,27,20.81,0.5,0,2,7344,137,Matching,44.595144,-123.25647,Matching,Corvallis SD 509J,Wilson Elementary School,Matching,0,0,1.05,492.44,Matching,Matching
LA,St. Bernard,22087,,1.6%,118,1,11,14,4,0,1,3893,28,Matching,29.944177,-89.979036,Matching,St. Bernard Parish,C.f. Rowley Alternative School,Matching,6.8,3.16,6.74,452,Matching,Matching
TN,Knox,47093,,1.6%,944,2,89,127.6,39.1,0,1,43916,805,Matching,36.020178,-83.887983,Matching,Knox County,Richard Yoakley School,Matching,28.08,32.79,72.18,3979.78,Matching,Matching
PA,Lehigh,42077,,1.5%,799,19,80,164.3,19,0,3,25828,699,Matching,40.663054,-75.607235,Matching,Lehigh Career & Technical Institute,Lehigh Career & Technical Institute,Matching,2.99,386.42,83.55,3466.32,Matching,Matching
RI,Providence,44007,,1.5%,1230,34,172,194.2,33.3,0,4,36425,1084,Matching,41.834784,-71.401992,Matching,Providence,360 High School,Matching,121.01,96.55,154.21,6485.79,Matching,Matching
IL,McHenry,17111,,1.5%,804,21,84,74.05,11,0,1,38265,247,Matching,42.28,-88.21,Matching,Wauconda CUSD 118,Matthews Middle School,Matching,72.79,64.04,78.29,3624.8,Matching,Matching
MN,Scott,27139,,1.5%,407,7,48,34,6,0,3,20385,324,Matching,44.792164,-93.472081,Matching,SOUTHWEST METRO EDUCATIONAL COOP,SWMETRO - CHASKA SPECIAL ED CENTER,Matching,34.27,31.2,27.82,1764.28,Matching,Matching
MO,Jackson,29095,,1.5%,1581,32,215,292,100.6,0,7,49495,404,Matching,39.041895,-94.448481,Matching,RAYTOWN C-2,NORTHWOOD SCH.,Matching,83.96,16.64,208.94,7335.41,Matching,Matching
MO,Cape Girardeau,29031,,1.5%,159,5,26,29.25,27,0,2,8270,143,Matching,37.298052,-89.541062,Matching,CAPE GIRARDEAU 63,JEFFERSON ELEM.,Matching,9,6,22.25,732.96,Matching,Matching
WA,Clallam,53009,,1.5%,149,6,25,23.07,4.17,0,1,7047,121,Matching,48.136023,-123.74567,Matching,Crescent School District,Crescent School,Matching,1,8.06,2.02,545.06,Matching,Matching
UT,Cache,49005,,1.5%,370,7,39,41.35,7.86,0,1,20541,229,Matching,41.708113,-111.81558,Matching,CACHE DISTRICT,PROVIDENCE SCHOOL,Matching,0,3.7,5.25,1133.96,Matching,Matching
MN,Rice,27131,,1.4%,131,8,22,16.8,5.2,0,1,6316,115,Matching,44.291758,-93.281641,Matching,FARIBAULT PUBLIC SCHOOL DISTRICT,REFLECTIONS,Matching,15.4,14.5,18.37,631.01,Matching,Matching
ME,Cumberland,23005,,1.4%,552,21,89,120.91,23.13,0,2,32108,194,Matching,43.757992,-70.014808,Matching,Harpswell Coastal Academy,Harpswell Coastal Academy,Matching,92.91,29.14,72.97,3267.88,Matching,Matching
OK,Garfield,40047,,1.4%,160,9,33,37.81,15,0,1,6945,94,Matching,36.397231,-97.864451,Matching,ENID,LONGFELLOW MS,Matching,0,2,10.14,694.11,Matching,Matching
FL,Osceola,12097,,1.4%,833,1,60,96,47,0,2,14995,335,Matching,28.326364,-81.36957,Matching,OSCEOLA,PARKWAY MIDDLE SCHOOL,Matching,0,0,0,3098,Matching,Matching
CT,Litchfield,9005,,1.4%,262,20,54,72.36,10.8,0,1,15463,247,Matching,41.914619,-73.047963,Matching,REGIONAL SCHOOL DISTRICT 07,STEP,Matching,28.51,40.79,54,1824.6,Matching,Matching
GA,Habersham,13137,,1.4%,89,1,13,12,12,0,1,4291,49,Matching,34.557196,-83.495869,Matching,Habersham County,Habersham Success Academy,Matching,0,0,11,458.61,Matching,Matching
OR,Multnomah,41051,,1.4%,1276,10,163,264.85,20,0,1,47941,1078,Matching,45.555226,-122.61991,Matching,Oregon Department of Education,The Ivy School,Matching,6.95,19.5,7.37,5153.02,Matching,Matching
NE,Douglas,31055,,1.4%,1187,9,175,229,33.5,0,4,46018,853,Matching,41.203752,-96.245571,Matching,MILLARD PUBLIC SCHOOLS,HORIZON HIGH SCHOOL,Matching,16.96,67.05,93.1,6113.79,Matching,Matching
KY,Simpson,21213,,1.3%,41,1,6,5.3,5,0,1,2388,25,Matching,36.72222,-86.57722,Matching,Simpson County,Franklin-Simpson High School West Campus,Matching,4.5,2.75,6,185.5,Matching,Matching
NE,Scotts Bluff,31157,,1.3%,85,7,23,17.5,14,0,2,3620,47,Matching,41.946218,-103.813571,Matching,MITCHELL PUBLIC SCHOOLS,MITCHELL SECONDARY SCHOOL,Matching,13,5.9,11.08,433.66,Matching,Matching
ID,Bingham,16011,,1.3%,132,8,31,24.34,11.62,0,2,6888,16,Matching,43.189029,-112.33737,Matching,BLACKFOOT DISTRICT,INDEPENDENCE ALTERNATE HIGH,Matching,0,5.55,0.84,516.47,Matching,Matching
MS,Warren,28149,,1.3%,116,1,17,20,6,0,1,2747,19,Matching,32.351541,-90.873913,Matching,VICKSBURG WARREN SCHOOL DIST,CENTER FOR ALTERNATIVE PROGRAMS,Matching,1,0,6,574,Matching,Matching
TN,Sumner,47165,,1.3%,363,1,46,109.4,42,0,1,21296,319,Matching,36.398462,-86.44323,Matching,Sumner County,R T Fisher Alternative,Matching,4,16.38,25.85,3115.52,Matching,Matching
NJ,Middlesex,34023,,1.3%,1458,25,167,289,44,0,3,31845,348,Matching,40.500415,-74.453658,Matching,New Brunswick School District,Lincoln Elementary School,Matching,150.14,119.88,201.55,9109.05,Matching,Matching
CO,Mesa,8077,,1.3%,285,3,48,55.49,5,0,2,15297,242,Matching,39.10519,-108.3699,Matching,Mesa County Valley School District No. 51,PALISADE HIGH SCHOOL,Matching,3,18.24,14.17,1239.51,Matching,Matching
KS,Sedgwick,20173,,1.3%,1143,10,157,177.7,23,0,2,44674,935,Matching,37.628959,-97.323575,Matching,Wichita,Wells Alternative Middle School,Matching,108.32,88.88,129.44,5588.17,Matching,Matching
OR,Deschutes,41017,,1.3%,338,3,46,44.17,13.62,0,1,20908,304,Matching,43.673164,-121.506858,Matching,Bend-LaPine Administrative SD 1,LaPine Middle School,Matching,0,4.5,17.59,1182,Matching,Matching
CA,El Dorado,6017,,1.3%,328,14,55,36,11,0,2,17021,275,Matching,38.61,-120.86,Matching,El Dorado Union High,Union Mine High,Matching,0.2,24.68,16.66,1157.09,Matching,Matching
WA,King,53033,,1.3%,3620,19,454,619.47,60.17,0,5,125303,1236,Matching,47.6038,-122.3301,Matching,Seattle Public Schools,Cleveland High School STEM,Matching,13.79,228.89,206.69,14290.52,Matching,Matching
NY,Westchester,36119,,1.3%,1961,48,249,397.6,21,0,4,68894,1543,Matching,40.928015,-73.892807,Matching,YONKERS CITY SCHOOL DISTRICT,SCHOLASTIC ACADEMY FOR ACADEMIC EXCELLENCE,Matching,150.5,317.95,292.13,11520.42,Matching,Matching
OK,Garvin,40049,,1.3%,69,8,21,17.65,10,0,1,3387,49,Matching,34.741884,-97.221756,Matching,PAULS VALLEY,PAULS VALLEY JHS,Matching,2,0,0,385.57,Matching,Matching
TN,Wilson,47189,,1.3%,275,2,25,39,29.34,0,1,17032,235,Matching,36.205198,-86.334435,Matching,Wilson County,Lebanon High School,Matching,0,10,24,1381.93,Matching,Matching
MI,Ingham,26065,,1.3%,510,20,91,50.12,14,0,1,22582,136,Matching,42.597204,-84.44308,Matching,Ingham ISD,SLC/Evergreen,Matching,43.61,29,10.05,2155.6,Matching,Matching
TN,Roane,47145,,1.3%,71,1,14,14,14,0,1,5018,67,Matching,35.873692,-84.518536,Matching,Roane County,Roane County High School,Matching,0,3,9.5,375,Matching,Matching
SC,Lexington,45063,,1.3%,627,5,70,142.5,39.99,0,1,32002,367,Matching,33.736409,-81.095509,Matching,Lexington 04,Swansea High,Matching,6.93,49.02,71,3492.81,Matching,Matching
PA,Luzerne,42079,,1.3%,516,14,60,82.5,38,0,1,28494,70,Matching,41.26059,-75.800551,Matching,Wilkes-Barre Area CTC,Wilkes-Barre Area CTC,Matching,1.12,20.48,59.6,2641.53,Matching,Matching
CO,Larimer,8069,,1.2%,572,3,89,118.62,44,0,2,33632,398,Matching,40.38475,-105.11349,Matching,Thompson School District R-2J,WALT CLARK MIDDLE SCHOOL,Matching,4.68,11.99,11.35,2995.24,Matching,Matching
AR,Pulaski,5119,,1.2%,696,17,113,151.4,16.24,0,3,16639,216,Matching,34.760479,-92.346589,Matching,LITTLE ROCK SCHOOL DISTRICT,HALL HIGH SCHOOL,Matching,21,7.55,108.5,3699.17,Matching,Matching
